iter, loss
1,1.0689513635635377
2,0.9872635986123767
3,0.9004561885765621
4,0.8443803460257394
5,0.8155329050336565
6,0.796035760811397
7,0.7859697943074363
8,0.777782222884042
9,0.7727658571515764
10,0.7683392836366381
11,0.7664660102980477
12,0.7639785589490617
13,0.7613844508784158
14,0.7604859437261309
15,0.7592533722945622
16,0.7582574275561741
17,0.7561566701957158
18,0.7549925296647209
19,0.7549627762181418
20,0.7542637698990958
21,0.7535905769893101
22,0.7529965845176152
23,0.7522091054916382
24,0.7522171011992863
25,0.7519553446769714
26,0.7515527856349945
27,0.7513432400567192
28,0.7510407861641475
29,0.7504773919922965
30,0.7499691345010485
31,0.7497963353565761
32,0.7494248184135982
33,0.7498129997934614
34,0.7489170052324022
35,0.7490093437262944
36,0.7486131259373257
37,0.7484405492033277
38,0.7486161271163395
39,0.7481516332285745
40,0.7482605963093893
41,0.7480537726197924
42,0.747620301416942
43,0.7475949737003872
44,0.7473392961706434
45,0.7476292966093336
46,0.7468919498579842
47,0.7473918661049435
48,0.7470033061504364
49,0.7470352556024279
50,0.7467472764423916
51,0.7465516948699951
52,0.7465359153066362
53,0.7464160622869219
54,0.7463667285442352
55,0.7461675814219884
56,0.7459814405441284
57,0.7459355795383453
58,0.7459987984384809
59,0.7459235652855465
60,0.7461434582301548
61,0.7461198268617902
62,0.7458003512450627
63,0.7455339074134827
64,0.7456592171532768
65,0.7455395938668932
66,0.7453657696928296
67,0.7454144065720695
68,0.7453172372068677
69,0.745063476392201
70,0.7449577183382852
71,0.7451408585480281
72,0.7450947254044669
73,0.7450597677912031
74,0.7451205539703369
75,0.7448749577999115
76,0.7450927346093315
77,0.7447561316830771
78,0.7448681460108075
79,0.7448723031793322
80,0.7447978479521615
81,0.7446798854214804
82,0.744832204920905
83,0.7445878318377903
84,0.7446816507407598
85,0.7444117821965899
86,0.7444740506580898
87,0.7444465403897421
88,0.744519944531577
89,0.7440771848814828
90,0.7444005174296243
91,0.7443989568097251
92,0.7441217197690692
93,0.7441873558929988
94,0.7442114184583937
95,0.7439492520264217
96,0.7439317611285619
97,0.7440415617397853
98,0.7442197677067348
99,0.7443305724007743
100,0.7441849325384412
